Main.Row	Main.Col	Sub.Row	Sub.Col	SubgridAlias	SpotType	Dilution	GridAlias
1	2	7	10	Sample-7-2-5	Sample	6.25	Sample-36
1	2	7	11	PosCtrl-2-5	PosCtrl	6.25	PosCtrl-4
1	2	8	1	Sample-8-1-1	Sample	100	Sample-37
1	2	8	2	Sample-8-1-2	Sample	50	Sample-37
1	2	8	3	Sample-8-1-3	Sample	25	Sample-37
1	2	8	4	Sample-8-1-4	Sample	12.5	Sample-37
1	2	8	5	Sample-8-1-5	Sample	6.25	Sample-37
1	2	8	6	Sample-8-2-1	Sample	100	Sample-38
1	2	8	7	Sample-8-2-2	Sample	50	Sample-38
1	2	8	8	Sample-8-2-3	Sample	25	Sample-38
1	2	8	9	Sample-8-2-4	Sample	12.5	Sample-38
1	2	8	10	Sample-8-2-5	Sample	6.25	Sample-38
1	2	8	11	PosCtrl-2-4	PosCtrl	12.5	PosCtrl-4
1	2	9	1	Sample-9-1-1	Sample	100	Sample-39
1	2	9	2	Sample-9-1-2	Sample	50	Sample-39
1	2	9	3	Sample-9-1-3	Sample	25	Sample-39
1	2	9	4	Sample-9-1-4	Sample	12.5	Sample-39
1	2	9	5	Sample-9-1-5	Sample	6.25	Sample-39
1	2	9	6	Sample-9-2-1	Sample	100	Sample-40
1	2	9	7	Sample-9-2-2	Sample	50	Sample-40
1	2	9	8	Sample-9-2-3	Sample	25	Sample-40
1	2	9	9	Sample-9-2-4	Sample	12.5	Sample-40
1	2	9	10	Sample-9-2-5	Sample	6.25	Sample-40
1	2	9	11	PosCtrl-2-3	PosCtrl	25	PosCtrl-4
1	2	10	1	Sample-10-1-1	Sample	100	Sample-41
1	2	10	2	Sample-10-1-2	Sample	50	Sample-41
1	2	10	3	Sample-10-1-3	Sample	25	Sample-41
1	2	10	4	Sample-10-1-4	Sample	12.5	Sample-41
1	2	10	5	Sample-10-1-5	Sample	6.25	Sample-41
1	2	10	6	Sample-10-2-1	Sample	100	Sample-42
1	2	10	7	Sample-10-2-2	Sample	50	Sample-42
1	2	10	8	Sample-10-2-3	Sample	25	Sample-42
1	2	10	9	Sample-10-2-4	Sample	12.5	Sample-42
1	2	10	10	Sample-10-2-5	Sample	6.25	Sample-42
1	2	10	11	PosCtrl-2-2	PosCtrl	50	PosCtrl-4
1	2	11	1	Sample-11-1-1	Sample	100	Sample-43
1	2	11	2	Sample-11-1-2	Sample	50	Sample-43
1	2	11	3	Sample-11-1-3	Sample	25	Sample-43
1	2	11	4	Sample-11-1-4	Sample	12.5	Sample-43
1	2	11	5	Sample-11-1-5	Sample	6.25	Sample-43
1	2	11	6	Sample-11-2-1	Sample	100	Sample-44
1	2	11	7	Sample-11-2-2	Sample	50	Sample-44
1	2	11	8	Sample-11-2-3	Sample	25	Sample-44
1	2	11	9	Sample-11-2-4	Sample	12.5	Sample-44
1	2	11	10	Sample-11-2-5	Sample	6.25	Sample-44
1	2	11	11	PosCtrl-2-1	PosCtrl	100	PosCtrl-4
1	3	1	1	Sample-1-1-1	Sample	100	Sample-45
1	3	1	2	Sample-1-1-2	Sample	50	Sample-45
1	3	1	3	Sample-1-1-3	Sample	25	Sample-45
1	3	1	4	Sample-1-1-4	Sample	12.5	Sample-45
1	3	1	5	Sample-1-1-5	Sample	6.25	Sample-45
1	3	1	6	Sample-1-2-1	Sample	100	Sample-46
1	3	1	7	Sample-1-2-2	Sample	50	Sample-46
1	3	1	8	Sample-1-2-3	Sample	25	Sample-46
1	3	1	9	Sample-1-2-4	Sample	12.5	Sample-46
1	3	1	10	Sample-1-2-5	Sample	6.25	Sample-46
1	3	1	11	PosCtrl-1-1	PosCtrl	100	PosCtrl-5
1	3	2	1	Sample-2-1-1	Sample	100	Sample-47
1	3	2	2	Sample-2-1-2	Sample	50	Sample-47
1	3	2	3	Sample-2-1-3	Sample	25	Sample-47
1	3	2	4	Sample-2-1-4	Sample	12.5	Sample-47
1	3	2	5	Sample-2-1-5	Sample	6.25	Sample-47
1	3	2	6	Sample-2-2-1	Sample	100	Sample-48
1	3	2	7	Sample-2-2-2	Sample	50	Sample-48
1	3	2	8	Sample-2-2-3	Sample	25	Sample-48
1	3	2	9	Sample-2-2-4	Sample	12.5	Sample-48
1	3	2	10	Sample-2-2-5	Sample	6.25	Sample-48
1	3	2	11	PosCtrl-1-2	PosCtrl	50	PosCtrl-5
1	3	3	1	Sample-3-1-1	Sample	100	Sample-49
1	3	3	2	Sample-3-1-2	Sample	50	Sample-49
1	3	3	3	Sample-3-1-3	Sample	25	Sample-49
1	3	3	4	Sample-3-1-4	Sample	12.5	Sample-49
1	3	3	5	Sample-3-1-5	Sample	6.25	Sample-49
1	3	3	6	Sample-3-2-1	Sample	100	Sample-50
1	3	3	7	Sample-3-2-2	Sample	50	Sample-50
1	3	3	8	Sample-3-2-3	Sample	25	Sample-50
1	3	3	9	Sample-3-2-4	Sample	12.5	Sample-50
1	3	3	10	Sample-3-2-5	Sample	6.25	Sample-50
1	3	3	11	PosCtrl-1-3	PosCtrl	25	PosCtrl-5
1	3	4	1	Sample-4-1-1	Sample	100	Sample-51
1	3	4	2	Sample-4-1-2	Sample	50	Sample-51
1	3	4	3	Sample-4-1-3	Sample	25	Sample-51
1	3	4	4	Sample-4-1-4	Sample	12.5	Sample-51
1	3	4	5	Sample-4-1-5	Sample	6.25	Sample-51
1	3	4	6	Sample-4-2-1	Sample	100	Sample-52
1	3	4	7	Sample-4-2-2	Sample	50	Sample-52
1	3	4	8	Sample-4-2-3	Sample	25	Sample-52
1	3	4	9	Sample-4-2-4	Sample	12.5	Sample-52
1	3	4	10	Sample-4-2-5	Sample	6.25	Sample-52
1	3	4	11	PosCtrl-1-4	PosCtrl	12.5	PosCtrl-5
1	3	5	1	Sample-5-1-1	Sample	100	Sample-53
1	3	5	2	Sample-5-1-2	Sample	50	Sample-53
1	3	5	3	Sample-5-1-3	Sample	25	Sample-53
1	3	5	4	Sample-5-1-4	Sample	12.5	Sample-53
1	3	5	5	Sample-5-1-5	Sample	6.25	Sample-53
1	3	5	6	Sample-5-2-1	Sample	100	Sample-54
1	3	5	7	Sample-5-2-2	Sample	50	Sample-54
1	3	5	8	Sample-5-2-3	Sample	25	Sample-54
1	3	5	9	Sample-5-2-4	Sample	12.5	Sample-54
1	3	5	10	Sample-5-2-5	Sample	6.25	Sample-54
1	3	5	11	PosCtrl-1-5	PosCtrl	6.25	PosCtrl-5
1	3	6	1	Sample-6-1-1	Sample	100	Sample-55
1	3	6	2	Sample-6-1-2	Sample	50	Sample-55
1	3	6	3	Sample-6-1-3	Sample	25	Sample-55
1	3	6	4	Sample-6-1-4	Sample	12.5	Sample-55
1	3	6	5	Sample-6-1-5	Sample	6.25	Sample-55
1	3	6	6	Sample-6-2-1	Sample	100	Sample-56
1	3	6	7	Sample-6-2-2	Sample	50	Sample-56
1	3	6	8	Sample-6-2-3	Sample	25	Sample-56
1	3	6	9	Sample-6-2-4	Sample	12.5	Sample-56
1	3	6	10	Sample-6-2-5	Sample	6.25	Sample-56
1	3	6	11	NegCtrl	NegCtrl	0	NegCtrl-3
1	3	7	1	Sample-7-1-1	Sample	100	Sample-57
1	3	7	2	Sample-7-1-2	Sample	50	Sample-57
1	3	7	3	Sample-7-1-3	Sample	25	Sample-57
1	3	7	4	Sample-7-1-4	Sample	12.5	Sample-57
1	3	7	5	Sample-7-1-5	Sample	6.25	Sample-57
1	3	7	6	Sample-7-2-1	Sample	100	Sample-58
1	3	7	7	Sample-7-2-2	Sample	50	Sample-58
1	3	7	8	Sample-7-2-3	Sample	25	Sample-58
1	3	7	9	Sample-7-2-4	Sample	12.5	Sample-58
1	3	7	10	Sample-7-2-5	Sample	6.25	Sample-58
1	3	7	11	PosCtrl-2-5	PosCtrl	6.25	PosCtrl-6
1	3	8	1	Sample-8-1-1	Sample	100	Sample-59
1	3	8	2	Sample-8-1-2	Sample	50	Sample-59
1	3	8	3	Sample-8-1-3	Sample	25	Sample-59
1	3	8	4	Sample-8-1-4	Sample	12.5	Sample-59
1	3	8	5	Sample-8-1-5	Sample	6.25	Sample-59
1	3	8	6	Sample-8-2-1	Sample	100	Sample-60
1	3	8	7	Sample-8-2-2	Sample	50	Sample-60
1	3	8	8	Sample-8-2-3	Sample	25	Sample-60
1	3	8	9	Sample-8-2-4	Sample	12.5	Sample-60
1	3	8	10	Sample-8-2-5	Sample	6.25	Sample-60
1	3	8	11	PosCtrl-2-4	PosCtrl	12.5	PosCtrl-6
1	3	9	1	Sample-9-1-1	Sample	100	Sample-61
1	3	9	2	Sample-9-1-2	Sample	50	Sample-61
1	3	9	3	Sample-9-1-3	Sample	25	Sample-61
1	3	9	4	Sample-9-1-4	Sample	12.5	Sample-61
1	3	9	5	Sample-9-1-5	Sample	6.25	Sample-61
1	3	9	6	Sample-9-2-1	Sample	100	Sample-62
1	3	9	7	Sample-9-2-2	Sample	50	Sample-62
1	3	9	8	Sample-9-2-3	Sample	25	Sample-62
1	3	9	9	Sample-9-2-4	Sample	12.5	Sample-62
1	3	9	10	Sample-9-2-5	Sample	6.25	Sample-62
1	3	9	11	PosCtrl-2-3	PosCtrl	25	PosCtrl-6
1	3	10	1	Sample-10-1-1	Sample	100	Sample-63
1	3	10	2	Sample-10-1-2	Sample	50	Sample-63
1	3	10	3	Sample-10-1-3	Sample	25	Sample-63
1	3	10	4	Sample-10-1-4	Sample	12.5	Sample-63
1	3	10	5	Sample-10-1-5	Sample	6.25	Sample-63
1	3	10	6	Sample-10-2-1	Sample	100	Sample-64
1	3	10	7	Sample-10-2-2	Sample	50	Sample-64
1	3	10	8	Sample-10-2-3	Sample	25	Sample-64
1	3	10	9	Sample-10-2-4	Sample	12.5	Sample-64
1	3	10	10	Sample-10-2-5	Sample	6.25	Sample-64
1	3	10	11	PosCtrl-2-2	PosCtrl	50	PosCtrl-6
1	3	11	1	Sample-11-1-1	Sample	100	Sample-65
1	3	11	2	Sample-11-1-2	Sample	50	Sample-65
1	3	11	3	Sample-11-1-3	Sample	25	Sample-65
1	3	11	4	Sample-11-1-4	Sample	12.5	Sample-65
1	3	11	5	Sample-11-1-5	Sample	6.25	Sample-65
1	3	11	6	Sample-11-2-1	Sample	100	Sample-66
1	3	11	7	Sample-11-2-2	Sample	50	Sample-66
1	3	11	8	Sample-11-2-3	Sample	25	Sample-66
1	3	11	9	Sample-11-2-4	Sample	12.5	Sample-66
1	3	11	10	Sample-11-2-5	Sample	6.25	Sample-66
1	3	11	11	PosCtrl-2-1	PosCtrl	100	PosCtrl-6
1	4	1	1	Sample-1-1-1	Sample	100	Sample-67
1	4	1	2	Sample-1-1-2	Sample	50	Sample-67
1	4	1	3	Sample-1-1-3	Sample	25	Sample-67
1	4	1	4	Sample-1-1-4	Sample	12.5	Sample-67
1	4	1	5	Sample-1-1-5	Sample	6.25	Sample-67
1	4	1	6	Sample-1-2-1	Sample	100	Sample-68
1	4	1	7	Sample-1-2-2	Sample	50	Sample-68
1	4	1	8	Sample-1-2-3	Sample	25	Sample-68
1	4	1	9	Sample-1-2-4	Sample	12.5	Sample-68
1	4	1	10	Sample-1-2-5	Sample	6.25	Sample-68
1	4	1	11	PosCtrl-1-1	PosCtrl	100	PosCtrl-7
1	4	2	1	Sample-2-1-1	Sample	100	Sample-69
1	4	2	2	Sample-2-1-2	Sample	50	Sample-69
1	4	2	3	Sample-2-1-3	Sample	25	Sample-69
1	4	2	4	Sample-2-1-4	Sample	12.5	Sample-69
1	4	2	5	Sample-2-1-5	Sample	6.25	Sample-69
1	4	2	6	Sample-2-2-1	Sample	100	Sample-70
1	4	2	7	Sample-2-2-2	Sample	50	Sample-70
1	4	2	8	Sample-2-2-3	Sample	25	Sample-70
1	4	2	9	Sample-2-2-4	Sample	12.5	Sample-70
1	4	2	10	Sample-2-2-5	Sample	6.25	Sample-70
1	4	2	11	PosCtrl-1-2	PosCtrl	50	PosCtrl-7
1	4	3	1	Sample-3-1-1	Sample	100	Sample-71
1	4	3	2	Sample-3-1-2	Sample	50	Sample-71
1	4	3	3	Sample-3-1-3	Sample	25	Sample-71
1	4	3	4	Sample-3-1-4	Sample	12.5	Sample-71
1	4	3	5	Sample-3-1-5	Sample	6.25	Sample-71
1	4	3	6	Sample-3-2-1	Sample	100	Sample-72
1	4	3	7	Sample-3-2-2	Sample	50	Sample-72
1	4	3	8	Sample-3-2-3	Sample	25	Sample-72
1	4	3	9	Sample-3-2-4	Sample	12.5	Sample-72
1	4	3	10	Sample-3-2-5	Sample	6.25	Sample-72
1	4	3	11	PosCtrl-1-3	PosCtrl	25	PosCtrl-7
1	4	4	1	Sample-4-1-1	Sample	100	Sample-73
1	4	4	2	Sample-4-1-2	Sample	50	Sample-73
1	4	4	3	Sample-4-1-3	Sample	25	Sample-73
1	4	4	4	Sample-4-1-4	Sample	12.5	Sample-73
1	4	4	5	Sample-4-1-5	Sample	6.25	Sample-73
1	4	4	6	Sample-4-2-1	Sample	100	Sample-74
1	4	4	7	Sample-4-2-2	Sample	50	Sample-74
1	4	4	8	Sample-4-2-3	Sample	25	Sample-74
1	4	4	9	Sample-4-2-4	Sample	12.5	Sample-74
1	4	4	10	Sample-4-2-5	Sample	6.25	Sample-74
1	4	4	11	PosCtrl-1-4	PosCtrl	12.5	PosCtrl-7
1	4	5	1	Sample-5-1-1	Sample	100	Sample-75
1	4	5	2	Sample-5-1-2	Sample	50	Sample-75
1	4	5	3	Sample-5-1-3	Sample	25	Sample-75
1	4	5	4	Sample-5-1-4	Sample	12.5	Sample-75
1	4	5	5	Sample-5-1-5	Sample	6.25	Sample-75
1	4	5	6	Sample-5-2-1	Sample	100	Sample-76
1	4	5	7	Sample-5-2-2	Sample	50	Sample-76
1	4	5	8	Sample-5-2-3	Sample	25	Sample-76
1	4	5	9	Sample-5-2-4	Sample	12.5	Sample-76
1	4	5	10	Sample-5-2-5	Sample	6.25	Sample-76
1	4	5	11	PosCtrl-1-5	PosCtrl	6.25	PosCtrl-7
1	4	6	1	Sample-6-1-1	Sample	100	Sample-77
1	4	6	2	Sample-6-1-2	Sample	50	Sample-77
1	4	6	3	Sample-6-1-3	Sample	25	Sample-77
1	4	6	4	Sample-6-1-4	Sample	12.5	Sample-77
1	4	6	5	Sample-6-1-5	Sample	6.25	Sample-77
1	4	6	6	Sample-6-2-1	Sample	100	Sample-78
1	4	6	7	Sample-6-2-2	Sample	50	Sample-78
1	4	6	8	Sample-6-2-3	Sample	25	Sample-78
1	4	6	9	Sample-6-2-4	Sample	12.5	Sample-78
1	4	6	10	Sample-6-2-5	Sample	6.25	Sample-78
1	4	6	11	NegCtrl	NegCtrl	0	NegCtrl-4
1	4	7	1	Sample-7-1-1	Sample	100	Sample-79
1	4	7	2	Sample-7-1-2	Sample	50	Sample-79
1	4	7	3	Sample-7-1-3	Sample	25	Sample-79
1	4	7	4	Sample-7-1-4	Sample	12.5	Sample-79
1	4	7	5	Sample-7-1-5	Sample	6.25	Sample-79
1	4	7	6	Sample-7-2-1	Sample	100	Sample-80
1	4	7	7	Sample-7-2-2	Sample	50	Sample-80
1	4	7	8	Sample-7-2-3	Sample	25	Sample-80
1	4	7	9	Sample-7-2-4	Sample	12.5	Sample-80
1	4	7	10	Sample-7-2-5	Sample	6.25	Sample-80
1	4	7	11	PosCtrl-2-5	PosCtrl	6.25	PosCtrl-8
1	4	8	1	Sample-8-1-1	Sample	100	Sample-81
1	4	8	2	Sample-8-1-2	Sample	50	Sample-81
